threshold,coverage,risk_1_minus_f1,error_rate
0.0,0.8666666666666667,0.0,0.0
0.02,0.8666666666666667,0.0,0.0
0.04,0.8666666666666667,0.0,0.0
0.06,0.8666666666666667,0.0,0.0
0.08,0.8666666666666667,0.0,0.0
0.1,0.8666666666666667,0.0,0.0
0.12,0.8666666666666667,0.0,0.0
0.14,0.8666666666666667,0.0,0.0
0.16,0.8666666666666667,0.0,0.0
0.18,0.8666666666666667,0.0,0.0
0.2,0.8666666666666667,0.0,0.0
0.22,0.8666666666666667,0.0,0.0
0.24,0.8666666666666667,0.0,0.0
0.26,0.8666666666666667,0.0,0.0
0.28,0.8666666666666667,0.0,0.0
0.3,0.8666666666666667,0.0,0.0
0.32,0.8666666666666667,0.0,0.0
0.34,0.8666666666666667,0.0,0.0
0.36,0.8666666666666667,0.0,0.0
0.38,0.8666666666666667,0.0,0.0
0.4,0.8666666666666667,0.0,0.0
0.42,0.8666666666666667,0.0,0.0
0.44,0.8666666666666667,0.0,0.0
0.46,0.8666666666666667,0.0,0.0
0.48,0.8666666666666667,0.0,0.0
0.5,0.8666666666666667,0.0,0.0
0.52,0.8666666666666667,0.0,0.0
0.54,0.8666666666666667,0.0,0.0
0.56,0.8666666666666667,0.0,0.0
0.58,0.8666666666666667,0.0,0.0
0.6,0.8666666666666667,0.0,0.0
0.62,0.8666666666666667,0.0,0.0
0.64,0.8666666666666667,0.0,0.0
0.66,0.8666666666666667,0.0,0.0
0.68,0.8666666666666667,0.0,0.0
0.7000000000000001,0.8666666666666667,0.0,0.0
0.72,0.8666666666666667,0.0,0.0
0.74,0.8666666666666667,0.0,0.0
0.76,0.8666666666666667,0.0,0.0
0.78,0.8666666666666667,0.0,0.0
0.8,0.8666666666666667,0.0,0.0
0.8200000000000001,0.8666666666666667,0.0,0.0
0.84,0.8666666666666667,0.0,0.0
0.86,0.8666666666666667,0.0,0.0
0.88,0.8666666666666667,0.0,0.0
0.9,0.8666666666666667,0.0,0.0
0.92,0.8666666666666667,0.0,0.0
0.9400000000000001,0.8666666666666667,0.0,0.0
0.96,0.8666666666666667,0.0,0.0
0.98,0.8666666666666667,0.0,0.0
1.0,0.8666666666666667,0.0,0.0
